12:39:51.001 [main] INFO  c.m.i.IoTDeviceServiceApplication - Starting IoTDeviceServiceApplication on macbook-gibeon.ecs.soton.ac.uk with PID 28500 (/Users/gibeon/git/MicroThingsExperiment1/iotdeviceservice/bin/main started by gibeon in /Users/gibeon/git/MicroThingsExperiment1/iotdeviceservice)
12:45:50.892 [http-nio-8093-exec-4] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():15.0
12:45:50.914 [http-nio-8093-exec-5] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:50.915 [http-nio-8093-exec-5] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():4.0
12:45:51.175 [http-nio-8091-exec-7] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.177 [http-nio-8091-exec-7] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():7.0
12:45:51.209 [http-nio-8092-exec-6] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.210 [http-nio-8092-exec-6] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():7.0
12:45:51.223 [http-nio-8093-exec-6] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.224 [http-nio-8093-exec-6] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():7.0
12:45:51.360 [http-nio-8091-exec-8] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.360 [http-nio-8091-exec-8] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():2.0
12:45:51.371 [http-nio-8092-exec-7] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.372 [http-nio-8092-exec-7] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():2.0
12:45:51.389 [http-nio-8093-exec-7] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.390 [http-nio-8093-exec-7] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():2.0
12:45:51.404 [http-nio-8091-exec-9] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.405 [http-nio-8091-exec-9] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():8.0
12:45:51.418 [http-nio-8092-exec-8] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.419 [http-nio-8092-exec-8] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():8.0
12:45:51.434 [http-nio-8093-exec-8] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.434 [http-nio-8093-exec-8] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():8.0
12:45:51.466 [http-nio-8091-exec-10] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.467 [http-nio-8091-exec-10] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():14.0
12:45:51.476 [http-nio-8092-exec-9] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.478 [http-nio-8092-exec-9] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():14.0
12:45:51.490 [http-nio-8093-exec-9] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.491 [http-nio-8093-exec-9] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():14.0
12:45:51.505 [http-nio-8091-exec-1] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.506 [http-nio-8091-exec-1] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():15.0
12:45:51.529 [http-nio-8092-exec-10] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.573 [http-nio-8092-exec-10] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():15.0
12:45:51.586 [http-nio-8093-exec-10] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.586 [http-nio-8093-exec-10] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():15.0
12:45:51.618 [http-nio-8091-exec-2] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.619 [http-nio-8091-exec-2] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():19.0
12:45:51.632 [http-nio-8092-exec-1] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.638 [http-nio-8092-exec-1] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():19.0
12:45:51.646 [http-nio-8093-exec-1] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.647 [http-nio-8093-exec-1] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():19.0
12:45:51.667 [http-nio-8091-exec-4] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.667 [http-nio-8091-exec-4] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():21.0
12:45:51.674 [http-nio-8092-exec-2] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.674 [http-nio-8092-exec-2] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():21.0
12:45:51.680 [http-nio-8093-exec-3] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.680 [http-nio-8093-exec-3] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():21.0
12:45:51.695 [http-nio-8091-exec-5] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.696 [http-nio-8091-exec-5] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():22.0
12:45:51.702 [http-nio-8092-exec-3] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.703 [http-nio-8092-exec-3] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():22.0
12:45:51.708 [http-nio-8093-exec-5] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.709 [http-nio-8093-exec-5] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():22.0
12:45:51.723 [http-nio-8091-exec-3] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.723 [http-nio-8091-exec-3] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():24.0
12:45:51.750 [http-nio-8092-exec-4] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.750 [http-nio-8092-exec-4] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():24.0
12:45:51.801 [http-nio-8093-exec-4] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.801 [http-nio-8093-exec-4] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():24.0
12:45:51.816 [http-nio-8091-exec-6] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.817 [http-nio-8091-exec-6] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():27.0
12:45:51.827 [http-nio-8092-exec-5] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.828 [http-nio-8092-exec-5] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():27.0
12:45:51.835 [http-nio-8093-exec-2] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.835 [http-nio-8093-exec-2] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():27.0
12:45:51.848 [http-nio-8091-exec-7] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.848 [http-nio-8091-exec-7] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():18.0
12:45:51.862 [http-nio-8092-exec-6] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.953 [http-nio-8092-exec-6] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():18.0
12:45:51.986 [http-nio-8093-exec-6] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:51.987 [http-nio-8093-exec-6] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():18.0
12:45:52.030 [http-nio-8091-exec-8] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.031 [http-nio-8091-exec-8] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():17.0
12:45:52.048 [http-nio-8092-exec-7] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.049 [http-nio-8092-exec-7] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():17.0
12:45:52.059 [http-nio-8093-exec-7] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.060 [http-nio-8093-exec-7] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():17.0
12:45:52.102 [http-nio-8091-exec-9] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.103 [http-nio-8091-exec-9] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():14.0
12:45:52.109 [http-nio-8092-exec-8] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.110 [http-nio-8092-exec-8] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():14.0
12:45:52.186 [http-nio-8093-exec-8] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.186 [http-nio-8093-exec-8] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():14.0
12:45:52.210 [http-nio-8091-exec-10] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.210 [http-nio-8091-exec-10] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():11.0
12:45:52.217 [http-nio-8092-exec-9] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
